db	id	alt	E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	p-value	mult_tests	neg_sites_in_bin	neg_sites	neg_adj_pvalue	log_neg_adj_pvalue	fisher_adj_pvalue	log_fisher_adj_pvalue	
2	MA0739.1	Hic1	8.10E-04	1.50E-06	-1.34E+01	0	262	492	2749	4793	0.53252	6.30E-09	2.45E+02	1.52E+02	280	1.00E+00	0.00E+00		1.00E+00	0
2	MA0740.1	KLF14	2.00E-20	3.90E-23	-5.16E+01	0	223	487	1200	2101	0.45791	1.60E-25	2.43E+02	50	105	1.00E+00	0.00E+00		1.00E+00	0
2	MA0741.1	KLF16	4.60E-14	8.70E-17	-3.70E+01	0	232	490	2022	3699	0.47347	3.60E-19	2.44E+02	9.60E+01	220	1.00E+00	0.00E+00		2.00E-01	-1.6
2	MA0742.1	Klf12	1.10E-21	2.20E-24	-5.45E+01	0	172	486	843	1763	0.35391	9.00E-27	2.42E+02	3.70E+01	97	1.00E+00	0.00E+00		1.00E+00	0
2	MA0746.1	SP3	1.50E-17	2.80E-20	-4.50E+01	0	224	490	2489	4713	0.45714	1.10E-22	2.44E+02	1.29E+02	269	1.00E+00	0.00E+00		1.00E+00	0
2	MA0747.1	SP8	3.80E-12	7.30E-15	-3.26E+01	0	233	489	2263	4181	0.47648	3.00E-17	2.44E+02	1.04E+02	236	1.00E+00	0.00E+00		3.30E-01	-1.12
2	MA0748.1	YY2	1.60E-03	3.00E-06	-1.27E+01	0	238	490	1848	3465	4.86E-01	1.20E-08	2.44E+02	90	1.95E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0749.1	ZBED1	7.40E+00	1.40E-02	-4.26E+00	0	22	488	13	80	4.51E-02	5.80E-05	2.43E+02	0	3.00E+00	1.00E+00	0.00E+00		1.00E+00	0
2	MA0750.1	ZBTB7A	9.40E-03	1.80E-05	-1.09E+01	0	263	489	1675	2854	5.38E-01	7.40E-08	2.44E+02	107	1.74E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0751.1	ZIC4	4.40E-07	8.40E-10	-2.09E+01	0	226	486	1672	3178	0.46502	3.50E-12	2.42E+02	1.01E+02	191	1.00E+00	0.00E+00		1.00E+00	0
